"Achievements.ARCHAEOLOGIST_Description","Kill Doctor Bones."
"ItemTooltip.IceBatBanner","{$CommonItemTooltip.BannerBonus}{$NPCName.IceBat}"
"ItemTooltip.IceBlade","Shoots an icy bolt"
"ItemTooltip.IceBow","Shoots frost arrows"
"ItemTooltip.IceCream","{$CommonItemTooltip.MediumStats}
'Eat it before it melts!'"
"ItemTooltip.IceElementalBanner","{$CommonItemTooltip.BannerBonus}{$NPCName.IceElemental}"
"ItemTooltip.IceGolemBanner","{$CommonItemTooltip.BannerBonus}{$NPCName.IceGolem}"
"ItemTooltip.IceMachine","{$CommonItemTooltip.SpecialCrafting}"
"ItemTooltip.IceMirror","Gaze in the mirror to return home"
"ItemTooltip.IceQueenPetItem","Summons a tiny Ice Queen
'Fit for a queen!'"
"ItemTooltip.IceRod","Summons a block of ice"
"ItemTooltip.IceSickle","Shoots an icy sickle"
"ItemTooltip.IceSkates","Provides extra mobility on ice
Ice will not break when you fall on it"
"ItemTooltip.IceSlimeBanner","{$CommonItemTooltip.BannerBonus}{$NPCName.IceSlime}"
"ItemTooltip.IceTortoiseBanner","{$CommonItemTooltip.BannerBonus}{$NPCName.IceTortoise}"
"ItemTooltip.Ichor","'The blood of gods'"
"ItemTooltip.IchorArrow","Decreases target's defense"
"ItemTooltip.IchorBullet","Decreases target's defense"
"ItemTooltip.IchorCampfire","Life regen is increased when near a campfire"
"ItemTooltip.IchorDart","Bursts into multiple darts"
"ItemTooltip.IchorStickerBanner","{$CommonItemTooltip.BannerBonus}{$NPCName.IchorSticker}"
"ItemTooltip.IchorTorch","Can be placed in water"
"ItemTooltip.IcyMermanBanner","{$CommonItemTooltip.BannerBonus}{$NPCName.IcyMerman}"
"ItemTooltip.IllegalGunParts","'Banned in most places'"
"ItemTooltip.IlluminantBatBanner","{$CommonItemTooltip.BannerBonus}{$NPCName.IlluminantBat}"
"ItemTooltip.IlluminantSlimeBanner","{$CommonItemTooltip.BannerBonus}{$NPCName.IlluminantSlime}"
"ItemTooltip.ImbuingStation","Used to craft weapon imbuement flasks"
"ItemTooltip.Impact","{$PaintingArtist.Wright}"
"ItemTooltip.ImpFace","{$PaintingArtist.Myhre}"
"ItemTooltip.ImpStaff","Summons an imp to fight for you"
"ItemTooltip.InfernoFork","Launches a ball of fire that explodes into a raging inferno"
"ItemTooltip.InfernoPotion","Ignites nearby enemies"
"ItemTooltip.InletPump","Sends water to outlet pumps"
"ItemTooltip.InvisibilityPotion","Grants invisibility and lowers the spawn rate of enemies"
"ItemTooltip.IronAnvil","Used to craft items from metal bars"
"ItemTooltip.IronCrate","{$CommonItemTooltip.RightClickToOpen}"
"ItemTooltip.IronCrateHard","{$ItemTooltip.IronCrate}"
"ItemTooltip.IronskinPotion","Increase defense by 8"
"ItemTooltip.ItemFrame","<right> to place item on item frame"
"ItemTooltip.IvyGuitar","Playable Instrument
'Property of Dead Man's Sweater'"
"ItemTooltip.JackingSkeletron","{$PaintingArtist.Crowno}"
"ItemTooltip.JawsOfDeath","{$PaintingArtist.Darthkitten}"
"ItemTooltip.JellyfishBanner","{$CommonItemTooltip.BannerBonus}{$NPCName.BlueJellyfish}"
"ItemTooltip.JellyfishDivingGear","Grants the ability to swim and greatly extends underwater breathing
Generates a very subtle glow which becomes more vibrant underwater"
"ItemTooltip.JellyfishNecklace","Generates a very subtle glow which becomes more vibrant underwater"
"ItemTooltip.Jetpack","{$CommonItemTooltip.FlightAndSlowfall}
{$CommonItemTooltip.PressUpToBooster}"
"ItemTooltip.JimsBreastplate","{$CommonItemTooltip.DevItem}"
"ItemTooltip.JimsHelmet","{$CommonItemTooltip.DevItem}"
"ItemTooltip.JimsLeggings","{$CommonItemTooltip.DevItem}"
"ItemTooltip.JimsWings","{$CommonItemTooltip.DevItem}
{$CommonItemTooltip.FlightAndSlowfall}"
"ItemTooltip.JoustingLance","Build momentum to increase attack power
'Have at thee!'"
"ItemTooltip.JungleBatBanner","{$CommonItemTooltip.BannerBonus}{$NPCName.JungleBat}"
"ItemTooltip.JungleCampfire","Life regen is increased when near a campfire"
"ItemTooltip.JungleCreeperBanner","{$CommonItemTooltip.BannerBonus}{$NPCName.JungleCreeper}"
"ItemTooltip.JungleFishingCrate","{$CommonItemTooltip.RightClickToOpen}"
"ItemTooltip.JungleFishingCrateHard","{$ItemTooltip.JungleFishingCrate}"
"ItemTooltip.JungleHat","Increases maximum mana by 40
6% increased magic critical strike chance"
"ItemTooltip.JungleKey","Unlocks a Jungle Chest in the dungeon"
"ItemTooltip.JungleKeyMold","Used for crafting a Jungle Key"
"ItemTooltip.JunglePants","Increases maximum mana by 20
6% increased magic critical strike chance"
"ItemTooltip.JungleRose","'It's pretty, oh so pretty'"
"ItemTooltip.JungleShirt","Increases maximum mana by 20
6% increased magic damage"
"ItemTooltip.JungleSlimeBanner","{$CommonItemTooltip.BannerBonus}{$NPCName.JungleSlime}"
"ItemTooltip.Keg","Used for brewing ale"
"ItemTooltip.Keybrand","Deals more damage to injured foes"
"ItemTooltip.KingSlimeBossBag","{$CommonItemTooltip.RightClickToOpen}"
"ItemTooltip.KingSlimePetItem","Summons a Slime Prince
'A dessert fit for a king!'"
"ItemTooltip.KiteAngryTrapper","{$CommonItemTooltip.Kite}"
"ItemTooltip.KiteBlue","{$CommonItemTooltip.Kite}"
"ItemTooltip.KiteBlueAndYellow","{$CommonItemTooltip.Kite}"
"ItemTooltip.KiteBoneSerpent","{$CommonItemTooltip.Kite}"
"ItemTooltip.KiteBunny","{$CommonItemTooltip.Kite}"
"ItemTooltip.KiteBunnyCorrupt","{$CommonItemTooltip.Kite}"
"ItemTooltip.KiteBunnyCrimson","{$CommonItemTooltip.Kite}"
"ItemTooltip.KiteCrawltipede","{$CommonItemTooltip.Kite}"
"ItemTooltip.KiteGoldfish","{$CommonItemTooltip.Kite}"
"ItemTooltip.KiteJellyfishBlue","{$CommonItemTooltip.Kite}"
"ItemTooltip.KiteJellyfishPink","{$CommonItemTooltip.Kite}"
"ItemTooltip.KiteKoi","{$CommonItemTooltip.Kite}"
"ItemTooltip.KiteManEater","{$CommonItemTooltip.Kite}"
"ItemTooltip.KitePigron","{$CommonItemTooltip.Kite}"
"ItemTooltip.KiteRed","{$CommonItemTooltip.Kite}"
"ItemTooltip.KiteRedAndYellow","{$CommonItemTooltip.Kite}"
"ItemTooltip.KiteSandShark","{$CommonItemTooltip.Kite}"
"ItemTooltip.KiteShark","{$CommonItemTooltip.Kite}"
"ItemTooltip.KiteSpectrum","{$CommonItemTooltip.Kite}"
"ItemTooltip.KiteUnicorn","{$CommonItemTooltip.Kite}"
"ItemTooltip.KiteWanderingEye","{$CommonItemTooltip.Kite}
'This one can't wander too far'"
"ItemTooltip.KiteWorldFeeder","{$CommonItemTooltip.Kite}"
"ItemTooltip.KiteWyvern","{$CommonItemTooltip.Kite}"
"ItemTooltip.KiteYellow","{$CommonItemTooltip.Kite}"
"ItemTooltip.KOCannon","Shoots a boxing glove"
"ItemTooltip.KrampusBanner","{$CommonItemTooltip.BannerBonus}{$NPCName.Krampus}"
"ItemTooltip.KryptonMoss","'A sight to dwell upon and never forget'"
"ItemTooltip.LacBeetleBanner","{$CommonItemTooltip.BannerBonus}{$NPCName.LacBeetle}"
"ItemTooltip.LakeofFire","{$PaintingArtist.Garner}"
"ItemTooltip.Land","{$PaintingArtist.Myhre}"
"ItemTooltip.LandMine","Explodes when stepped on"
"ItemTooltip.LargeAmber","For Capture the Gem. It drops when you die"
"ItemTooltip.LargeAmethyst","For Capture the Gem. It drops when you die"
"ItemTooltip.LargeDiamond","For Capture the Gem. It drops when you die"
"ItemTooltip.LargeEmerald","For Capture the Gem. It drops when you die"
"ItemTooltip.LargeRuby","For Capture the Gem. It drops when you die"
"ItemTooltip.LargeSapphire","For Capture the Gem. It drops when you die"
"ItemTooltip.LargeTopaz","For Capture the Gem. It drops when you die"
"ItemTooltip.LarvaeAntlionBanner","{$CommonItemTooltip.BannerBonus}{$NPCName.LarvaeAntlion}"
"ItemTooltip.LaserRuler","Creates measurement lines on screen for block placement"
"ItemTooltip.LastPrism","'Fire a lifeform disintegration rainbow'"
"ItemTooltip.LavaAbsorbantSponge","Capable of soaking up an endless amount of lava"
"ItemTooltip.LavaBatBanner","{$CommonItemTooltip.BannerBonus}{$NPCName.Lavabat}"
"ItemTooltip.LavaBomb","A small explosion that will spread lava"
"ItemTooltip.LavaBucket","Contains a small amount of lava
Can be poured out"
"ItemTooltip.LavaCharm","Provides 7 seconds of immunity to lava"
"ItemTooltip.LavaCrate","{$CommonItemTooltip.RightClickToOpen}"
"ItemTooltip.LavaCrateHard","{$CommonItemTooltip.RightClickToOpen}"
"ItemTooltip.LavaFishbowl","'No, you can't wear it on your head'"
"ItemTooltip.LavaFishingHook","{$CommonItemTooltip.LavaFishing}"
"ItemTooltip.LavaproofTackleBag","Fishing line will never break, decreases chance of bait consumption, increases fishing power
Allows fishing in lava"
"ItemTooltip.LavaRocket","Spreads lava on impact"
"ItemTooltip.LavaSkull","Melee attacks inflict fire damage
Grants immunity to fire blocks"
"ItemTooltip.LavaSlimeBanner","{$CommonItemTooltip.BannerBonus}{$NPCName.LavaSlime}"
"ItemTooltip.LavaWaders","Provides the ability to walk on water, honey & lava
Grants immunity to fire blocks and 7 seconds of immunity to lava
Reduces damage from touching lava"
"ItemTooltip.LawnMower","Mows Pure and Hallowed grass
Mowed grass reduces enemy spawn chance"
"ItemTooltip.LeadAnvil","Used to craft items from metal bars"
"ItemTooltip.LeafBlower","Rapidly shoots razor sharp leaves"
"ItemTooltip.LeafWand","Places leaves"
"ItemTooltip.LeafWings","{$CommonItemTooltip.FlightAndSlowfall}"
"ItemTooltip.LeinforsAccessory","{$CommonItemTooltip.DevItem}
'Brought to you by LeinCorp'"
"ItemTooltip.LeinforsHat","{$CommonItemTooltip.DevItem}
'To keep those luscious locks as gorgeous as ever'"
"ItemTooltip.LeinforsPants","{$CommonItemTooltip.DevItem}
'There might be pasta in the pockets'"
"ItemTooltip.LeinforsShirt","{$CommonItemTooltip.DevItem}
'Bringing sexy back'"
"ItemTooltip.LeinforsWings","{$CommonItemTooltip.DevItem}
{$CommonItemTooltip.FlightAndSlowfall}
'It's full on! What does it mean?!'"
"ItemTooltip.Lemon","{$CommonItemTooltip.MinorStats}
'When life gives you lemons...'"
"ItemTooltip.Lemonade","{$CommonItemTooltip.MinorStats}
'...make lemonade!'"
"ItemTooltip.LeprechaunHat","To me it look like a leprechaun to me"
"ItemTooltip.LeprechaunPants","I want the gold. I want the gold. I want the gold. Gimme the gold!"
"ItemTooltip.LeprechaunShirt","I just wanna know where the gold at!"
"ItemTooltip.LesionStation","Used for special crafting"
"ItemTooltip.LicenseBunny","Use to let a bunny arrive in town"
"ItemTooltip.LicenseCat","Use to let a cat arrive in town"
"ItemTooltip.LicenseDog","Use to let a dog arrive in town"
"ItemTooltip.LifeAboveTheSand","{$PaintingArtist.Zoomo}"
"ItemTooltip.LifeCrystal","Permanently increases maximum life by 20"
"ItemTooltip.LifeforcePotion","Increases max life by 20%"
"ItemTooltip.LifeformAnalyzer","Displays the name of rare creatures around you"
"ItemTooltip.LifeFruit","Permanently increases maximum life by 5"
"ItemTooltip.LightDisc","Stacks up to 5"
"ItemTooltip.LightKey","'Charged with the essence of many souls'"
"ItemTooltip.LightlessChasms","{$PaintingArtist.Crowno}"
"ItemTooltip.LightMummyBanner","{$CommonItemTooltip.BannerBonus}{$NPCName.LightMummy}"
"ItemTooltip.LightningBoots","Allows flight, super fast running
8% increased movement speed"
"ItemTooltip.LightningCarrot","Summons a volt bunny"
"ItemTooltip.LightShard","'Sometimes carried by creatures in light deserts'"
"ItemTooltip.LihzahrdBanner","{$CommonItemTooltip.BannerBonus}{$NPCName.LihzahrdCrawler}"
"ItemTooltip.LihzahrdFurnace","{$CommonItemTooltip.SpecialCrafting}"
"ItemTooltip.LihzahrdPowerCell","Used at the Lihzahrd Altar"
"ItemTooltip.LihzahrdPressurePlate","Activates when a player steps on it"
"ItemTooltip.LihzahrdWorkBench","Used for basic crafting"
"ItemTooltip.LimeKelp","Used to make Lime Dye"
"ItemTooltip.LimeString","{$CommonItemTooltip.String}"
"ItemTooltip.LivingGore","{$PaintingArtist.Craig}"
"ItemTooltip.LivingLoom","{$CommonItemTooltip.SpecialCrafting}"
"ItemTooltip.LivingMahoganyLeafWand","Places rich mahogany leaves"
"ItemTooltip.LivingMahoganyWand","Places living rich mahogany"
"ItemTooltip.LivingWoodWand","Places living wood"
"ItemTooltip.LizardEgg","Summons a Pet Lizard"
"ItemTooltip.LobsterTail","{$CommonItemTooltip.MediumStats}
'Delicious with a bit of butter'"
"ItemTooltip.LockBox","{$CommonItemTooltip.RightClickToOpen}
Requires a Golden Key"
"ItemTooltip.LogicGate_AND","Activates when all lamps are on, deactivates otherwise"
"ItemTooltip.LogicGate_NAND","Activates when not all lamps are on, deactivates otherwise"
"ItemTooltip.LogicGate_NOR","Judges logic gate lamps above it
Activates when no lamp is on, deactivates otherwise"
"ItemTooltip.LogicGate_NXOR","Judges logic gate lamps above it
Activates when the total 'on' lamps is not one, deactivates otherwise
Also often called NXOR"
"ItemTooltip.LogicGate_OR","Judges logic gate lamps above it
Activates when any lamp is on, deactivates otherwise"
"ItemTooltip.LogicGate_XOR","Judges logic gate lamps above it
Activates when only one lamp is on, deactivates otherwise"
"ItemTooltip.LogicGateLamp_Faulty","Place this on logic gate lamps to randomize the activation"
"ItemTooltip.LogicGateLamp_Off","Place this on logic gates to add checks"
"ItemTooltip.LogicGateLamp_On","Place this on logic gates to add checks"
"ItemTooltip.LogicSensor_Above","Activates whenever players are over it, deactivates otherwise"
"ItemTooltip.LogicSensor_Honey","Activates whenever occupied by honey, deactivates otherwise"
"ItemTooltip.LogicSensor_Lava","Activates whenever occupied by lava, deactivates otherwise"
"ItemTooltip.LogicSensor_Liquid","Activates whenever occupied by liquid, deactivates otherwise"
"ItemTooltip.LogicSensor_Moon","Activates once night starts"
"ItemTooltip.LogicSensor_Sun","Activates once day starts"
"ItemTooltip.LogicSensor_Water","Activates whenever occupied by water, deactivates otherwise"
"ItemTooltip.LokisDye","{$CommonItemTooltip.DevItem}"
"ItemTooltip.LokisHelm","{$CommonItemTooltip.DevItem}
Disorder came from order, fear came from courage, weakness came from strength"
"ItemTooltip.LokisPants","{$CommonItemTooltip.DevItem}
Wheels of justice grind slow but grind fine."
"ItemTooltip.LokisShirt","{$CommonItemTooltip.DevItem}
Know thy self, know thy enemy. A thousand battles, a thousand victories…"
"ItemTooltip.LokisWings","{$CommonItemTooltip.DevItem}
{$CommonItemTooltip.FlightAndSlowfall}
Let your plans be dark and impenetrable as night, and when you move, fall like a thunderbolt."
"ItemTooltip.LongRainbowTrailWings","{$CommonItemTooltip.FlightAndSlowfall}
{$CommonItemTooltip.PressDownToHover}
{$CommonItemTooltip.PressUpToBooster}
'The more you know'"
"ItemTooltip.Loom","Used for crafting cloth"
"ItemTooltip.LovePotion","Throw this to make someone fall in love"
"ItemTooltip.LuckPotion","Increases the Luck of the user"
"ItemTooltip.LuckPotionGreater","Increases the Luck of the user"
"ItemTooltip.LuckPotionLesser","Increases the Luck of the user"
"ItemTooltip.LuckyCoin","Hitting enemies will sometimes drop extra coins"
"ItemTooltip.LuckyHorseshoe","Negates fall damage"
"ItemTooltip.LucyTheAxe","'I love Lucy!'"
"ItemTooltip.LunarBar","'It vibrates with luminous celestial energy'"
"ItemTooltip.LunarCraftingStation","Used to craft items from Lunar Fragments and Luminite"
"ItemTooltip.LunarFlareBook","Rains down lunar flares"
"ItemTooltip.LunarHook","'You want the moon? Just grapple it and pull it down!'"
"ItemTooltip.LunarOre","'A pebble of the heavens'"
"ItemTooltip.LunaticCultistPetItem","Summons a baby phantasmal dragon
'Contains a fragment of Phantasm energy.'"
"ItemTooltip.Mace","Can be upgraded with torches"
"ItemTooltip.MaceWhip","5 summon tag damage
5% summon tag critical strike chance
{$CommonItemTooltip.Whips}"
"ItemTooltip.MagicalPumpkinSeed","Summons a pet squashling"
"ItemTooltip.MagicConch","If you listen closely, you can hear the ocean"
"ItemTooltip.MagicCuffs","Increases maximum mana by 20
Restores mana when damaged"
"ItemTooltip.MagicDagger","A magical returning dagger"
"ItemTooltip.MagicHat","6% increased magic damage and critical strike chance"
"ItemTooltip.MagicLantern","Summons a magic lantern that exposes nearby treasure"
"ItemTooltip.MagicMirror","Gaze in the mirror to return home"
"ItemTooltip.MagicMissile","Casts a controllable missile"
"ItemTooltip.MagicPowerPotion","20% increased magic damage"
"ItemTooltip.MagicQuiver","Increases arrow damage by 10% and greatly increases arrow speed
20% chance to not consume arrows"
"ItemTooltip.Magiluminescence","Increases movement speed and acceleration
Provides light when worn
'A brief light in my dark life.'"
"ItemTooltip.MagmaStone","Melee attacks inflict fire damage"
"ItemTooltip.MagnetFlower","8% reduced mana usage
Automatically use mana potions when needed
Increases pickup range for mana stars"
"ItemTooltip.MajesticHorseSaddle","Summons a rideable white horse mount"
"ItemTooltip.ManaCloak","8% reduced mana usage
Automatically use mana potions when needed
Causes stars to fall after taking damage
Stars restore mana when collected"
"ItemTooltip.ManaCrystal","Permanently increases maximum mana by 20"
"ItemTooltip.ManaFlower","8% reduced mana usage
Automatically use mana potions when needed"
"ItemTooltip.ManaRegenerationBand","Increases maximum mana by 20
Increases mana regeneration rate"
"ItemTooltip.ManaRegenerationPotion","Increased mana regeneration"
"ItemTooltip.ManEaterBanner","{$CommonItemTooltip.BannerBonus}{$NPCName.ManEater}"
"ItemTooltip.Mango","{$CommonItemTooltip.MinorStats}"
"ItemTooltip.Mannequin","<right> to customize attire"
"ItemTooltip.Marshmallow","Put it on a stick and roast over a campfire
{$CommonItemTooltip.MinorStats}
'How many can you fit in your mouth?'"
"ItemTooltip.MarshmallowonaStick","Roast it over a campfire!"
"ItemTooltip.MartianBrainscramblerBanner","{$CommonItemTooltip.BannerBonus}{$NPCName.BrainScrambler}"
"ItemTooltip.MartianDroneBanner","{$CommonItemTooltip.BannerBonus}{$NPCName.MartianDrone}"
"ItemTooltip.MartianEngineerBanner","{$CommonItemTooltip.BannerBonus}{$NPCName.MartianEngineer}"
"ItemTooltip.MartianGigazapperBanner","{$CommonItemTooltip.BannerBonus}{$NPCName.GigaZapper}"
"ItemTooltip.MartianGreyGruntBanner","{$CommonItemTooltip.BannerBonus}{$NPCName.GrayGrunt}"
"ItemTooltip.MartianOfficerBanner","{$CommonItemTooltip.BannerBonus}{$NPCName.MartianOfficer}"
"ItemTooltip.MartianPetItem","Summons an alien skater
'Kickflips are a lot easier in Zero-G!'"
"ItemTooltip.MartianRaygunnerBanner","{$CommonItemTooltip.BannerBonus}{$NPCName.RayGunner}"
"ItemTooltip.MartianScutlixGunnerBanner","{$CommonItemTooltip.BannerBonus}{$NPCName.ScutlixRider}"
"ItemTooltip.MartianTeslaTurretBanner","{$CommonItemTooltip.BannerBonus}{$NPCName.MartianTurret}"
"ItemTooltip.MartianWalkerBanner","{$CommonItemTooltip.BannerBonus}{$NPCName.MartianWalker}"
"ItemTooltip.MasterNinjaGear","Allows the ability to climb walls and dash
Gives a chance to dodge attacks"
"ItemTooltip.MeatGrinder","Used to craft objects"
"ItemTooltip.MechanicalEye","Summons The Twins"
"ItemTooltip.MechanicalGlove","Increases melee knockback
12% increased melee damage and speed
Enables auto swing for melee weapons
Increases the size of melee weapons"
"ItemTooltip.MechanicalLens","Grants improved wire vision"
"ItemTooltip.MechanicalSkull","Summons Skeletron Prime"
"ItemTooltip.MechanicalWorm","Summons The Destroyer"
"ItemTooltip.MedicatedBandage","Immunity to Poison and Bleeding"
